subject,condition,named,afc,whichSide,whichResp,whichItem,trial,condition.y,studyResp,studyResp2,rt1,rt2,list,pas1,pas2
2,binocular,1,1,0,0.0,14,10,4,8,8,3.91723474901301,3.91720969543167,1,3,3
2,not studied,1,1,0,0.0,11,11,1,9,9,0.0,0.0,1,fNS,fNS
2,word,1,1,1,1.0,16,12,2,8,1,3.91719611216831,3.91719460291642,1,3,3
2,cfs,0,1,0,0.0,15,13,3,4,3,3.91721120468719,3.3338159920313,1,0,1
2,not studied,1,1,0,0.0,10,14,1,9,9,0.0,0.0,1,fNS,fNS
2,cfs,0,1,0,0.0,9,15,3,1,1,2.33372966283423,1.50032448911952,1,3,3
2,word,0,0,1,0.0,13,16,2,1,1,3.91721361948657,3.91722056204526,1,3,3
2,binocular,1,1,0,0.0,24,17,4,1,1,3.91719098071189,3.91720184732549,2,3,3
2,cfs,1,1,1,1.0,17,18,3,1,1,1.08362944851615,1.66701288901095,2,3,3
2,word,1,1,0,0.0,22,19,2,1,1,3.91720154547511,3.91720969543167,2,3,3
2,not studied,0,0,0,1.0,20,20,1,9,9,0.0,0.0,2,fNS,fNS
2,word,0,1,1,1.0,23,21,2,8,8,3.91721301578582,3.91720003622322,2,3,3
2,binocular,1,1,1,1.0,19,22,4,7,8,3.91719279181052,3.9171944787231,2,2,3
2,cfs,0,0,1,0.0,18,23,3,2,7,2.91711581997515,1.41702858522694,2,2,2
2,not studied,1,1,0,0.0,21,24,1,4,9,3.9171882640585,0.0,2,0,fNS
2,word,1,1,1,1.0,29,25,2,1,1,3.91719037701114,3.91720516767964,2,3,3
2,binocular,1,1,0,0.0,26,26,4,1,8,3.91723203235597,3.91719641401869,2,3,3
2,binocular,1,1,1,1.0,31,27,4,1,1,3.91720788433304,3.91721935464375,2,3,3
2,not studied,0,0,1,0.0,28,28,1,9,9,0.0,0.0,2,fNS,fNS
2,not studied,0,0,1,0.0,25,29,1,4,9,3.91721120468355,0.0,2,0,fNS
2,cfs,0,1,0,0.0,30,30,3,3,1,1.4170068520034,1.83368770563538,2,1,3
2,cfs,0,1,1,1.0,27,31,3,2,2,3.75052008813873,1.50067222071448,2,2,2
2,word,1,1,1,1.0,32,32,2,2,1,3.91722146759639,3.91719520661718,2,2,3
2,not studied,1,0,1,0.0,33,33,1,9,9,0.0,0.0,3,fNS,fNS
2,not studied,0,1,1,1.0,38,34,1,9,9,0.0,0.0,3,fNS,fNS
2,word,1,1,1,1.0,40,35,2,1,1,3.91721150653757,3.91719671586907,3,3,3
2,word,1,0,0,1.0,39,36,2,8,1,3.91719822512096,3.91719882882171,3,3,3
2,cfs,1,1,1,1.0,34,37,3,2,2,1.9170264722743,2.08371336291384,3,2,2
2,binocular,1,1,1,1.0,35,38,4,1,1,3.91719973437284,3.91718947146001,3,3,3
2,cfs,0,0,0,1.0,36,39,3,1,2,1.8336928370918,2.33373569983814,3,3,2
2,binocular,1,1,1,1.0,37,40,4,8,1,3.91719430106605,3.91722104155269,3,3,3
2,cfs,1,1,0,0.0,44,41,3,7,8,2.25040357390753,1.91711612182553,3,2,3
2,word,1,1,1,1.0,45,42,2,1,1,3.91720939358493,3.91721482688808,3,3,3
2,cfs,1,1,1,1.0,48,43,3,3,1,2.3337390201923,2.3337314739365,3,1,3
2,binocular,1,1,0,0.0,41,44,4,8,8,3.91719792327058,3.91719309366454,3,3,3
2,binocular,1,1,1,1.0,42,45,4,8,8,3.91721029913606,3.91719792326694,3,3,3
2,not studied,0,0,0,1.0,47,46,1,9,9,0.0,0.0,3,fNS,fNS
2,word,1,1,1,1.0,46,47,2,8,1,3.91719611216467,3.91720667693153,3,3,3
2,not studied,1,1,0,0.0,43,48,1,4,9,3.91725104892976,0.0,3,0,fNS
2,word,0,0,1,0.0,54,49,2,1,1,3.91718675481025,3.91719581031794,4,3,3
2,binocular,1,1,0,0.0,50,50,4,8,1,3.9171949047668,3.91718977331038,4,3,3
2,not studied,0,1,0,0.0,53,51,1,9,9,0.0,0.0,4,fNS,fNS
2,cfs,0,0,1,0.0,52,52,3,2,7,2.3337308702321,1.50032509281664,4,2,2
2,word,1,0,0,1.0,49,53,2,8,8,3.91720909173455,3.9171882640585,4,3,3
2,binocular,1,1,0,0.0,55,54,4,1,1,3.91718313260571,3.91721482688808,4,3,3
2,cfs,1,1,1,1.0,56,55,3,1,1,1.6670143982592,1.58368166862783,4,3,3
2,not studied,1,0,1,0.0,51,56,1,4,4,3.91720335657374,3.9171976214202,4,0,0
2,cfs,1,1,0,0.0,63,57,3,7,8,2.00037097407039,2.25038817953828,4,2,3
2,word,1,1,1,1.0,59,58,2,8,1,3.91719399921567,3.91719435452978,4,3,3
2,not studied,0,0,1,0.0,62,59,1,9,9,0.0,0.0,4,fNS,fNS
2,cfs,0,1,0,0.0,61,60,3,7,8,3.91721029913242,1.58366899091197,4,2,3
2,binocular,0,1,0,0.0,60,61,4,0,8,3.91719188625939,3.91718977331038,4,NR,3
2,word,1,0,1,0.0,57,62,2,8,2,3.91719852697133,3.9171882640585,4,3,2
2,not studied,0,1,0,0.0,64,63,1,9,4,0.0,3.91719611216831,4,fNS,0
2,binocular,1,1,0,0.0,58,64,4,1,1,3.91719822512096,3.91719188626303,4,3,3
2,not studied,1,0,1,0.0,66,65,1,4,4,3.91719460291279,0.0835319508587418,5,0,0
2,cfs,1,1,1,1.0,69,66,3,1,1,1.75035135379949,1.33364544658616,5,3,3
2,binocular,0,1,1,1.0,70,67,4,1,1,3.91719430106605,3.91719007516076,5,3,3
