subject,condition,named,afc,whichSide,whichResp,whichItem,trial,condition.y,studyResp,studyResp2,rt1,rt2,list,pas1,pas2
2,not studied,0,0,1,0.0,106,106,1,4,9,3.91719098071189,0.0,7,0,fNS
2,word,1,1,0,0.0,110,107,2,8,2,3.91721693984073,3.91720033806996,7,3,2
2,binocular,0,0,1,0.0,105,108,4,1,8,3.91720335657374,3.91719248996014,7,3,3
2,not studied,0,1,0,0.0,109,109,1,9,9,0.0,0.0,7,fNS,fNS
2,word,0,1,0,0.0,108,112,2,1,1,3.91719279181416,3.91719339551491,7,3,3
2,not studied,1,1,1,1.0,116,113,1,4,4,3.91719822511732,3.91719731956982,8,0,0
2,word,0,0,0,1.0,117,114,2,1,1,3.91719701771945,3.9172003380736,8,3,3
2,binocular,1,1,1,1.0,115,115,4,1,1,3.91720728062865,3.91718886775925,8,3,3
2,binocular,1,1,1,1.0,119,116,4,8,8,3.91723957861541,3.91720094177435,8,3,3
2,not studied,0,1,0,0.0,120,118,1,4,4,3.91719581031794,3.91719098071189,8,0,0
2,word,0,1,1,1.0,113,119,2,1,1,3.91721211023469,3.91719792327058,8,3,3
2,word,0,1,1,1.0,123,122,2,1,8,3.91720486582926,3.91719822512096,8,3,3
2,not studied,0,0,1,0.0,121,123,1,9,9,0.0,0.0,8,fNS,fNS
2,not studied,0,1,0,0.0,127,124,1,4,9,3.91719007516076,0.0,8,0,fNS
2,binocular,1,1,1,1.0,128,125,4,1,8,3.91718916960963,3.91719007516076,8,3,3
2,word,0,1,1,1.0,124,126,2,8,8,3.91719158441265,3.91718856590887,8,3,3
2,binocular,1,1,1,1.0,122,128,4,8,1,3.9171949047668,3.91719309366454,8,3,3
3,word,1,1,0,0.0,6,1,2,3,1,3.91700125992065,3.91695839818567,1,1,3
3,word,0,1,0,0.0,1,2,2,1,1,3.91695869999239,3.91699371382128,1,3,3
3,binocular,1,1,0,0.0,8,4,4,1,1,3.91694783366984,3.91694904101314,1,3,3
3,binocular,1,1,0,0.0,2,5,4,1,1,3.91694481519517,3.91694800776895,1,3,3
3,not studied,0,0,0,1.0,7,6,1,9,9,0.0,0.0,1,fNS,fNS
3,cfs,1,0,0,1.0,5,7,3,5,3,3.91696081287228,1.41690889582969,1,0,1
3,not studied,0,1,1,1.0,4,8,1,9,9,0.0,0.0,1,fNS,fNS
3,cfs,0,0,1,0.0,12,9,3,2,6,1.41689186490839,0.750212044862565,1,2,1
3,not studied,1,0,1,0.0,13,10,1,9,9,0.0,0.0,1,fNS,fNS
3,binocular,1,1,1,1.0,11,11,4,1,1,3.91695477603935,3.91695115395123,1,3,3
3,word,0,1,0,0.0,15,12,2,8,8,3.91696805710671,3.91694843734149,1,3,3
3,word,0,1,1,1.0,9,13,2,1,1,3.91695236129453,3.91697771614417,1,3,3
3,binocular,1,1,0,0.0,10,14,4,8,1,3.91695024835644,3.9169475317467,1,3,3
3,not studied,0,1,0,0.0,16,16,1,9,9,0.0,0.0,1,fNS,fNS
3,not studied,1,1,0,0.0,22,18,1,9,9,0.0,0.0,2,fNS,fNS
3,binocular,1,1,1,1.0,20,19,4,1,1,3.91696352948202,3.91697771614417,2,3,3
3,word,0,1,1,1.0,17,21,2,1,1,3.91695145575795,3.91695447423263,2,3,3
3,binocular,1,1,0,0.0,21,22,4,8,1,3.91694692813326,3.91694632446161,2,3,3
3,not studied,0,0,1,0.0,23,23,1,9,9,0.0,0.0,2,fNS,fNS
3,word,0,1,1,1.0,18,24,2,1,1,3.91695598338265,3.91697107558139,2,3,3
3,word,1,1,1,1.0,30,25,2,8,1,3.9169451170601,3.91695417230949,2,3,3
3,cfs,1,0,1,0.0,26,26,3,0,3,0.916884144709911,1.00022758980049,2,NR,1
3,not studied,1,0,0,1.0,32,27,1,4,9,0.666881579032633,0.0,2,0,fNS
3,word,1,1,0,0.0,27,28,2,1,1,3.91696503869025,3.91696715162834,2,3,3
3,not studied,1,1,1,1.0,29,29,1,4,9,0.916887464991305,0.0,2,0,fNS
3,binocular,1,1,1,1.0,28,30,4,1,8,3.91694481519517,3.91694873914821,2,3,3
3,binocular,0,0,1,0.0,25,31,4,1,8,3.91695145575795,3.91695266310126,2,3,3
3,cfs,1,1,1,1.0,31,32,3,2,3,0.833547642047051,1.41689259634586,2,2,1
3,word,1,1,1,1.0,34,33,2,1,1,3.9169541723677,3.916949644743,3,3,3
3,binocular,0,1,0,0.0,38,34,4,8,1,3.91695175762288,3.91697077371646,3,3,3
3,binocular,1,1,0,0.0,33,35,4,1,1,3.91695688897744,3.91694541892502,3,3,3
3,cfs,0,0,0,1.0,35,36,3,3,3,1.00022155296756,1.08361932978733,3,1,1
3,not studied,0,1,0,0.0,40,37,1,4,9,3.91694873914821,0.0,3,0,fNS
3,cfs,1,0,1,0.0,37,38,3,3,6,1.16689093620516,1.00022517505568,3,1,1
3,word,0,0,0,1.0,36,39,2,1,1,3.91694085637573,3.91695507790428,3,3,3
3,not studied,0,0,1,0.0,39,40,1,9,4,0.0,3.91696473688353,3,fNS,0
3,cfs,0,1,0,0.0,42,41,3,0,3,0.916885050246492,1.0002514354419,3,NR,1
3,binocular,0,1,1,1.0,47,42,4,1,1,3.91697047185153,3.9169520594296,3,3,3
3,binocular,0,0,1,0.0,43,43,4,1,1,3.91694317827933,3.91695387050277,3,3,3
3,word,1,1,0,0.0,44,44,2,1,1,3.91696111473721,3.9169541723677,3,3,3
3,word,0,0,0,1.0,48,45,2,1,1,3.9169508520863,3.9169508520863,3,3,3
3,not studied,0,1,1,1.0,45,46,1,9,4,0.0,3.91696038329974,3,fNS,0
3,not studied,0,1,0,0.0,46,47,1,9,9,0.0,0.0,3,fNS,fNS
3,cfs,1,0,0,1.0,41,48,3,0,3,1.08356560167158,0.916896520298906,3,NR,1
3,not studied,0,1,1,1.0,54,49,1,4,9,3.91694843728328,0.0,4,0,fNS
3,binocular,0,0,1,0.0,53,50,4,8,1,3.91695568157593,3.91694632446161,4,3,3
3,word,1,1,0,0.0,56,51,2,8,1,3.91696926450823,3.91698646958685,4,3,3
3,not studied,0,1,1,1.0,49,52,1,1,9,1.16688640858047,0.0,4,3,fNS
